source_row_number,order_id,date,product,price,quantity,purchase_type,payment_method,manager,city,product_original,product_category,revenue,record_id,year,month_num,month_name,month,week_start,week_num,day_num,day_name,day_of_week_num,is_weekend,period_type
26,10478,2022-11-12,Beverages,2.95,677.97,In-store,Credit Card,Pablo Perez,Madrid,Beverages,Beverage,2000.01,rec_0c83e4f7beba4413,2022,11,Nov,2022-11,2022-11-07,45,12,Saturday,6,True,complete_day
25,10477,2022-11-12,Fries,3.49,630.37,In-store,Credit Card,Pablo Perez,Madrid,Fries,Sides,2199.99,rec_407ae43eee4e8acb,2022,11,Nov,2022-11,2022-11-07,45,12,Saturday,6,True,complete_day
24,10476,2022-11-12,Chicken Sandwiches,9.95,201.01,In-store,Credit Card,Pablo Perez,Madrid,Chicken Sandwiches,Main Course,2000.05,rec_439c052896064a29,2022,11,Nov,2022-11,2022-11-07,45,12,Saturday,6,True,complete_day
27,10479,2022-11-12,Sides & Other,4.99,200.4,In-store,Credit Card,Pablo Perez,Madrid,Sides & Other,Sides,1000.0,rec_58f6b12b7d97fd7e,2022,11,Nov,2022-11,2022-11-07,45,12,Saturday,6,True,complete_day
23,10475,2022-11-12,Burgers,12.99,523.48,In-store,Credit Card,Pablo Perez,Madrid,Burgers,Main Course,6800.01,rec_a145b3b85257240c,2022,11,Nov,2022-11,2022-11-07,45,12,Saturday,6,True,complete_day
30,10482,2022-11-13,Fries,25.5,630.37,In-store,Credit Card,Joao Silva,Lisbon,Fries,Sides,16074.44,rec_246203567a51b16f,2022,11,Nov,2022-11,2022-11-07,45,13,Sunday,7,True,complete_day
62,10483,2022-11-13,Beverages,2.95,677.97,In-store,Credit Card,Joao Silva,Lisbon,Beverages,Beverage,2000.01,rec_2e7a09a964f5eb25,2022,11,Nov,2022-11,2022-11-07,45,13,Sunday,7,True,complete_day
29,10481,2022-11-13,Chicken Sandwiches,9.95,201.01,In-store,Credit Card,Pablo Perez,Madrid,Chicken Sandwiches,Main Course,2000.05,rec_c8b9f4d4f0a2ad9c,2022,11,Nov,2022-11,2022-11-07,45,13,Sunday,7,True,complete_day
63,10484,2022-11-13,Sides & Other,4.99,200.4,In-store,Credit Card,Joao Silva,Lisbon,Sides & Other,Sides,1000.0,rec_d8de1ce8f141ab8f,2022,11,Nov,2022-11,2022-11-07,45,13,Sunday,7,True,complete_day
28,10480,2022-11-13,Burgers,12.99,508.08,In-store,Credit Card,Pablo Perez,Madrid,Burgers,Main Course,6599.96,rec_eb4da21136a1d79c,2022,11,Nov,2022-11,2022-11-07,45,13,Sunday,7,True,complete_day
64,10485,2022-11-14,Burgers,12.99,523.48,In-store,Credit Card,Joao Silva,Lisbon,Burgers,Main Course,6800.01,rec_523f608129e28c40,2022,11,Nov,2022-11,2022-11-14,46,14,Monday,1,False,complete_day
33,10488,2022-11-14,Beverages,2.95,677.97,In-store,Credit Card,Joao Silva,Lisbon,Beverages,Beverage,2000.01,rec_555fc1a41a5e8c10,2022,11,Nov,2022-11,2022-11-14,46,14,Monday,1,False,complete_day
31,10486,2022-11-14,Chicken Sandwiches,29.05,201.01,In-store,Credit Card,Joao Silva,Lisbon,Chicken Sandwiches,Main Course,5839.34,rec_9977e5fa09a2fc8f,2022,11,Nov,2022-11,2022-11-14,46,14,Monday,1,False,complete_day
34,10489,2022-11-14,Sides & Other,4.99,200.4,In-store,Credit Card,Pablo Perez,Madrid,Sides & Other,Sides,1000.0,rec_c8370ffc38f76c32,2022,11,Nov,2022-11,2022-11-14,46,14,Monday,1,False,complete_day
32,10487,2022-11-14,Fries,3.49,630.37,In-store,Credit Card,Joao Silva,Lisbon,Fries,Sides,2199.99,rec_f88cddb11aa653d9,2022,11,Nov,2022-11,2022-11-14,46,14,Monday,1,False,complete_day
35,10490,2022-11-15,Burgers,12.99,508.08,In-store,Credit Card,Pablo Perez,Madrid,Burgers,Main Course,6599.96,rec_1b5436dde7ccac52,2022,11,Nov,2022-11,2022-11-14,46,15,Tuesday,2,False,complete_day
36,10491,2022-11-15,Chicken Sandwiches,9.95,201.01,In-store,Credit Card,Pablo Perez,Madrid,Chicken Sandwiches,Main Course,2000.05,rec_542500bae1c958f4,2022,11,Nov,2022-11,2022-11-14,46,15,Tuesday,2,False,complete_day
39,10494,2022-11-15,Sides & Other,4.99,200.4,In-store,Credit Card,Pablo Perez,Madrid,Sides & Other,Sides,1000.0,rec_6b78086c1f23bbd4,2022,11,Nov,2022-11,2022-11-14,46,15,Tuesday,2,False,complete_day
37,10492,2022-11-15,Fries,3.49,573.07,In-store,Credit Card,Pablo Perez,Madrid,Fries,Sides,2000.01,rec_6e8de0c955396730,2022,11,Nov,2022-11,2022-11-14,46,15,Tuesday,2,False,complete_day
38,10493,2022-11-15,Beverages,2.95,677.97,In-store,Credit Card,Pablo Perez,Madrid,Beverages,Beverage,2000.01,rec_9d58da482859be54,2022,11,Nov,2022-11,2022-11-14,46,15,Tuesday,2,False,complete_day
44,10499,2022-11-16,Sides & Other,4.99,200.4,Drive-thru,Credit Card,Pablo Perez,Madrid,Sides & Other,Sides,1000.0,rec_029134f2cd658de6,2022,11,Nov,2022-11,2022-11-14,46,16,Wednesday,3,False,complete_day
41,10496,2022-11-16,Chicken Sandwiches,9.95,201.01,In-store,Credit Card,Pablo Perez,Madrid,Chicken Sandwiches,Main Course,2000.05,rec_0aa7a621a51aa951,2022,11,Nov,2022-11,2022-11-14,46,16,Wednesday,3,False,complete_day
40,10495,2022-11-16,Burgers,12.99,508.08,In-store,Credit Card,Pablo Perez,Madrid,Burgers,Main Course,6599.96,rec_56ec232c7ebb4fc8,2022,11,Nov,2022-11,2022-11-14,46,16,Wednesday,3,False,complete_day
43,10498,2022-11-16,Beverages,2.95,677.97,Drive-thru,Credit Card,Pablo Perez,Madrid,Beverages,Beverage,2000.01,rec_8f8f096e1adf597e,2022,11,Nov,2022-11,2022-11-14,46,16,Wednesday,3,False,complete_day
42,10497,2022-11-16,Fries,3.49,573.07,In-store,Credit Card,Pablo Perez,Madrid,Fries,Sides,2000.01,rec_ccd796d948201c26,2022,11,Nov,2022-11,2022-11-14,46,16,Wednesday,3,False,complete_day
45,10500,2022-11-17,Burgers,12.99,523.48,Drive-thru,Credit Card,Pablo Perez,Madrid,Burgers,Main Course,6800.01,rec_5298a84a8554851a,2022,11,Nov,2022-11,2022-11-14,46,17,Thursday,4,False,complete_day
47,10502,2022-11-17,Fries,3.49,630.37,Drive-thru,Credit Card,Pablo Perez,Madrid,Fries,Sides,2199.99,rec_a06ae7e49ae08254,2022,11,Nov,2022-11,2022-11-14,46,17,Thursday,4,False,complete_day
49,10504,2022-11-17,Sides & Other,4.99,200.4,Drive-thru,Credit Card,Pablo Perez,Madrid,Sides & Other,Sides,1000.0,rec_c622bfaeeea66571,2022,11,Nov,2022-11,2022-11-14,46,17,Thursday,4,False,complete_day
48,10503,2022-11-17,Beverages,2.95,677.97,Drive-thru,Credit Card,Pablo Perez,Madrid,Beverages,Beverage,2000.01,rec_d6246483f9e39dc1,2022,11,Nov,2022-11,2022-11-14,46,17,Thursday,4,False,complete_day
46,10501,2022-11-17,Chicken Sandwiches,9.95,201.01,Drive-thru,Credit Card,Pablo Perez,Madrid,Chicken Sandwiches,Main Course,2000.05,rec_e24c0646487c5e53,2022,11,Nov,2022-11,2022-11-14,46,17,Thursday,4,False,complete_day
50,10505,2022-11-18,Burgers,12.99,538.88,Drive-thru,Credit Card,Pablo Perez,Madrid,Burgers,Main Course,7000.05,rec_08b31bbd7c0caae7,2022,11,Nov,2022-11,2022-11-14,46,18,Friday,5,False,complete_day
54,10509,2022-11-18,Sides & Other,4.99,200.4,Drive-thru,Credit Card,Pablo Perez,Madrid,Sides & Other,Sides,1000.0,rec_80287fa37dd5332d,2022,11,Nov,2022-11,2022-11-14,46,18,Friday,5,False,complete_day
51,10506,2022-11-18,Chicken Sandwiches,9.95,201.01,Drive-thru,Credit Card,Pablo Perez,Madrid,Chicken Sandwiches,Main Course,2000.05,rec_9a823eaf86768be8,2022,11,Nov,2022-11,2022-11-14,46,18,Friday,5,False,complete_day
52,10507,2022-11-18,Fries,3.49,687.68,Drive-thru,Credit Card,Pablo Perez,Madrid,Fries,Sides,2400.0,rec_ad122426634d1397,2022,11,Nov,2022-11,2022-11-14,46,18,Friday,5,False,complete_day
53,10508,2022-11-18,Beverages,2.95,677.97,Drive-thru,Credit Card,Pablo Perez,Madrid,Beverages,Beverage,2000.01,rec_fcce25e69f4da118,2022,11,Nov,2022-11,2022-11-14,46,18,Friday,5,False,complete_day
56,10511,2022-11-19,Chicken Sandwiches,9.95,201.01,Drive-thru,Credit Card,Joao Silva,Lisbon,Chicken Sandwiches,Main Course,2000.05,rec_1930bf7131adece8,2022,11,Nov,2022-11,2022-11-14,46,19,Saturday,6,True,complete_day
59,10514,2022-11-19,Sides & Other,4.99,200.4,Drive-thru,Cash,Joao Silva,Lisbon,Sides & Other,Sides,1000.0,rec_4b22aea451f3b19a,2022,11,Nov,2022-11,2022-11-14,46,19,Saturday,6,True,complete_day
58,10513,2022-11-19,Beverages,2.95,677.97,Drive-thru,Cash,Joao Silva,Lisbon,Beverages,Beverage,2000.01,rec_4caf4c4cfcf1e529,2022,11,Nov,2022-11,2022-11-14,46,19,Saturday,6,True,complete_day
57,10512,2022-11-19,Fries,3.49,687.68,Drive-thru,Credit Card,Joao Silva,Lisbon,Fries,Sides,2400.0,rec_6924be6edabac78d,2022,11,Nov,2022-11,2022-11-14,46,19,Saturday,6,True,complete_day
55,10510,2022-11-19,Burgers,12.99,508.08,Drive-thru,Credit Card,Pablo Perez,Madrid,Burgers,Main Course,6599.96,rec_940b84295fc5b7c7,2022,11,Nov,2022-11,2022-11-14,46,19,Saturday,6,True,complete_day
61,10516,2022-11-20,Chicken Sandwiches,9.95,201.01,Drive-thru,Cash,Joao Silva,Lisbon,Chicken Sandwiches,Main Course,2000.05,rec_13dfc3075092def3,2022,11,Nov,2022-11,2022-11-14,46,20,Sunday,7,True,complete_day
60,10515,2022-11-20,Burgers,12.99,477.29,Drive-thru,Cash,Joao Silva,Lisbon,Burgers,Main Course,6200.0,rec_8f3bc352dbd16d7b,2022,11,Nov,2022-11,2022-11-14,46,20,Sunday,7,True,complete_day
68,10523,2022-11-21,Beverages,2.95,745.76,Drive-thru,Cash,Remy Monet,Paris,Beverages,Beverage,2199.99,rec_2c1c0f5629b6b842,2022,11,Nov,2022-11,2022-11-21,47,21,Monday,1,False,complete_day
66,10521,2022-11-21,Chicken Sandwiches,9.95,201.01,Drive-thru,Cash,Remy Monet,Paris,Chicken Sandwiches,Main Course,2000.05,rec_4dd0fdb3bfa8c508,2022,11,Nov,2022-11,2022-11-21,47,21,Monday,1,False,complete_day
65,10520,2022-11-21,Burgers,12.99,492.69,Drive-thru,Cash,Remy Monet,Paris,Burgers,Main Course,6400.04,rec_65a81f527b608359,2022,11,Nov,2022-11,2022-11-21,47,21,Monday,1,False,complete_day
69,10524,2022-11-21,Sides & Other,4.99,200.4,Drive-thru,Cash,Remy Monet,Paris,Sides & Other,Sides,1000.0,rec_e07802943b8903eb,2022,11,Nov,2022-11,2022-11-21,47,21,Monday,1,False,complete_day
67,10522,2022-11-21,Fries,3.49,687.68,Drive-thru,Cash,Remy Monet,Paris,Fries,Sides,2400.0,rec_fdcaaa46684bc855,2022,11,Nov,2022-11,2022-11-21,47,21,Monday,1,False,complete_day
70,10525,2022-11-22,Burgers,12.99,461.89,Drive-thru,Cash,Remy Monet,Paris,Burgers,Main Course,5999.95,rec_1ad9d9620a497c8e,2022,11,Nov,2022-11,2022-11-21,47,22,Tuesday,2,False,complete_day
74,10529,2022-11-22,Sides & Other,4.99,200.4,Drive-thru,Cash,Remy Monet,Paris,Sides & Other,Sides,1000.0,rec_39b78eabf219fc73,2022,11,Nov,2022-11,2022-11-21,47,22,Tuesday,2,False,complete_day
73,10528,2022-11-22,Beverages,2.95,745.76,Drive-thru,Cash,Remy Monet,Paris,Beverages,Beverage,2199.99,rec_4340a6ce28ec8cff,2022,11,Nov,2022-11,2022-11-21,47,22,Tuesday,2,False,complete_day
72,10527,2022-11-22,Fries,3.49,687.68,Drive-thru,Cash,Remy Monet,Paris,Fries,Sides,2400.0,rec_6b33190fb7e1c8ca,2022,11,Nov,2022-11,2022-11-21,47,22,Tuesday,2,False,complete_day
71,10526,2022-11-22,Chicken Sandwiches,9.95,201.01,Drive-thru,Cash,Remy Monet,Paris,Chicken Sandwiches,Main Course,2000.05,rec_7b37eda69a34a7d4,2022,11,Nov,2022-11,2022-11-21,47,22,Tuesday,2,False,complete_day
75,10530,2022-11-23,Burgers,12.99,477.29,Drive-thru,Cash,Remy Monet,Paris,Burgers,Main Course,6200.0,rec_1191baac106e6c9f,2022,11,Nov,2022-11,2022-11-21,47,23,Wednesday,3,False,complete_day
77,10532,2022-11-23,Fries,3.49,687.68,Drive-thru,Cash,Joao Silva,Lisbon,Fries,Sides,2400.0,rec_5a419b8f616edeaa,2022,11,Nov,2022-11,2022-11-21,47,23,Wednesday,3,False,complete_day
79,10534,2022-11-23,Sides & Other,4.99,200.4,Drive-thru,Cash,Pablo Perez,Madrid,Sides & Other,Sides,1000.0,rec_e44abb292e256551,2022,11,Nov,2022-11,2022-11-21,47,23,Wednesday,3,False,complete_day
76,10531,2022-11-23,Chicken Sandwiches,9.95,201.01,Drive-thru,Cash,Remy Monet,Paris,Chicken Sandwiches,Main Course,2000.05,rec_f3e65092a51cb78e,2022,11,Nov,2022-11,2022-11-21,47,23,Wednesday,3,False,complete_day
78,10533,2022-11-23,Beverages,2.95,745.76,Drive-thru,Cash,Joao Silva,Lisbon,Beverages,Beverage,2199.99,rec_f3f23cd09161ef70,2022,11,Nov,2022-11,2022-11-21,47,23,Wednesday,3,False,complete_day
80,10535,2022-11-24,Burgers,12.99,477.29,Drive-thru,Credit Card,Pablo Perez,Madrid,Burgers,Main Course,6200.0,rec_07d52b2033206f30,2022,11,Nov,2022-11,2022-11-21,47,24,Thursday,4,False,complete_day
81,10536,2022-11-24,Chicken Sandwiches,9.95,201.01,Drive-thru,Credit Card,Pablo Perez,Madrid,Chicken Sandwiches,Main Course,2000.05,rec_333138d4936feb01,2022,11,Nov,2022-11,2022-11-21,47,24,Thursday,4,False,complete_day
131,10539,2022-11-24,Sides & Other,4.99,200.4,Drive-thru,Credit Card,Pablo Perez,Madrid,Sides & Other,Sides,1000.0,rec_3a88328a393111f3,2022,11,Nov,2022-11,2022-11-21,47,24,Thursday,4,False,complete_day
130,10538,2022-11-24,Beverages,2.95,745.76,Drive-thru,Credit Card,Pablo Perez,Madrid,Beverages,Beverage,2199.99,rec_cf82df5ca3401759,2022,11,Nov,2022-11,2022-11-21,47,24,Thursday,4,False,complete_day
129,10537,2022-11-24,Fries,3.49,630.37,Drive-thru,Credit Card,Pablo Perez,Madrid,Fries,Sides,2199.99,rec_cfce55a8716e2a59,2022,11,Nov,2022-11,2022-11-21,47,24,Thursday,4,False,complete_day
82,10540,2022-11-25,Burgers,12.99,461.89,Drive-thru,Credit Card,Pablo Perez,Madrid,Burgers,Main Course,5999.95,rec_2e79bc315373c886,2022,11,Nov,2022-11,2022-11-21,47,25,Friday,5,False,complete_day
83,10541,2022-11-25,Chicken Sandwiches,9.95,201.01,Drive-thru,Credit Card,Tom Jackson,London,Chicken Sandwiches,Main Course,2000.05,rec_329085c63cc61833,2022,11,Nov,2022-11,2022-11-21,47,25,Friday,5,False,complete_day
84,10542,2022-11-25,Fries,3.49,630.37,Drive-thru,Credit Card,Tom Jackson,London,Fries,Sides,2199.99,rec_3b89f6f77410ec79,2022,11,Nov,2022-11,2022-11-21,47,25,Friday,5,False,complete_day
85,10543,2022-11-25,Beverages,2.95,745.76,Drive-thru,Credit Card,Tom Jackson,London,Beverages,Beverage,2199.99,rec_a18e9e7787075482,2022,11,Nov,2022-11,2022-11-21,47,25,Friday,5,False,complete_day
86,10544,2022-11-25,Sides & Other,4.99,200.4,Drive-thru,Credit Card,Tom Jackson,London,Sides & Other,Sides,1000.0,rec_fd7f51b433ec929e,2022,11,Nov,2022-11,2022-11-21,47,25,Friday,5,False,complete_day
90,10548,2022-11-26,Beverages,2.95,745.76,Drive-thru,Credit Card,Tom Jackson,London,Beverages,Beverage,2199.99,rec_2f7cf9a2e45e258b,2022,11,Nov,2022-11,2022-11-21,47,26,Saturday,6,True,complete_day
87,10545,2022-11-26,Burgers,12.99,446.5,Drive-thru,Credit Card,Tom Jackson,London,Burgers,Main Course,5800.04,rec_40f0a7efce0240eb,2022,11,Nov,2022-11,2022-11-21,47,26,Saturday,6,True,complete_day
88,10546,2022-11-26,Chicken Sandwiches,9.95,201.01,Drive-thru,Credit Card,Tom Jackson,London,Chicken Sandwiches,Main Course,2000.05,rec_58ef7eba3a7f27d4,2022,11,Nov,2022-11,2022-11-21,47,26,Saturday,6,True,complete_day
91,10549,2022-11-26,Sides & Other,4.99,200.4,Drive-thru,Credit Card,Tom Jackson,London,Sides & Other,Sides,1000.0,rec_7b5b66b97ab65189,2022,11,Nov,2022-11,2022-11-21,47,26,Saturday,6,True,complete_day
89,10547,2022-11-26,Fries,3.49,630.37,Drive-thru,Credit Card,Tom Jackson,London,Fries,Sides,2199.99,rec_911a11b75bbb6038,2022,11,Nov,2022-11,2022-11-21,47,26,Saturday,6,True,complete_day
94,10552,2022-11-27,Fries,3.49,630.37,Online,Credit Card,Tom Jackson,London,Fries,Sides,2199.99,rec_4b73cf86e1d1302c,2022,11,Nov,2022-11,2022-11-21,47,27,Sunday,7,True,complete_day
93,10551,2022-11-27,Chicken Sandwiches,9.95,201.01,Drive-thru,Credit Card,Tom Jackson,London,Chicken Sandwiches,Main Course,2000.05,rec_6188b5f5bbf06f4b,2022,11,Nov,2022-11,2022-11-21,47,27,Sunday,7,True,complete_day
96,10554,2022-11-27,Sides & Other,4.99,200.4,Online,Credit Card,Tom Jackson,London,Sides & Other,Sides,1000.0,rec_70bc04f4f80bddc4,2022,11,Nov,2022-11,2022-11-21,47,27,Sunday,7,True,complete_day
95,10553,2022-11-27,Beverages,2.95,745.76,Online,Credit Card,Tom Jackson,London,Beverages,Beverage,2199.99,rec_8703458241409f84,2022,11,Nov,2022-11,2022-11-21,47,27,Sunday,7,True,complete_day
92,10550,2022-11-27,Burgers,12.99,461.89,Drive-thru,Credit Card,Tom Jackson,London,Burgers,Main Course,5999.95,rec_f06b103ace635760,2022,11,Nov,2022-11,2022-11-21,47,27,Sunday,7,True,complete_day
98,10556,2022-11-28,Chicken Sandwiches,9.95,201.01,Online,Credit Card,Tom Jackson,London,Chicken Sandwiches,Main Course,2000.05,rec_0b7113bfdbba4b04,2022,11,Nov,2022-11,2022-11-28,48,28,Monday,1,False,complete_day
101,10559,2022-11-28,Sides & Other,4.99,200.4,Online,Credit Card,Tom Jackson,London,Sides & Other,Sides,1000.0,rec_66318d32a5d76839,2022,11,Nov,2022-11,2022-11-28,48,28,Monday,1,False,complete_day
100,10558,2022-11-28,Beverages,2.95,677.97,Online,Credit Card,Tom Jackson,London,Beverages,Beverage,2000.01,rec_66d564388e61aeaf,2022,11,Nov,2022-11,2022-11-28,48,28,Monday,1,False,complete_day
97,10555,2022-11-28,Burgers,12.99,477.29,Online,Credit Card,Tom Jackson,London,Burgers,Main Course,6200.0,rec_cde86286a83d564c,2022,11,Nov,2022-11,2022-11-28,48,28,Monday,1,False,complete_day
99,10557,2022-11-28,Fries,3.49,630.37,Online,Credit Card,Tom Jackson,London,Fries,Sides,2199.99,rec_fa88fcf78c9ce6f1,2022,11,Nov,2022-11,2022-11-28,48,28,Monday,1,False,complete_day
102,10560,2022-11-29,Burgers,12.99,477.29,Online,Credit Card,Tom Jackson,London,Burgers,Main Course,6200.0,rec_00aa1c30b1c9a23c,2022,11,Nov,2022-11,2022-11-28,48,29,Tuesday,2,False,complete_day
104,10562,2022-11-29,Fries,3.49,630.37,Online,Credit Card,Tom Jackson,London,Fries,Sides,2199.99,rec_01b4a5b9d20c68e9,2022,11,Nov,2022-11,2022-11-28,48,29,Tuesday,2,False,complete_day
105,10563,2022-11-29,Beverages,2.95,677.97,Online,Credit Card,Tom Jackson,London,Beverages,Beverage,2000.01,rec_41c7254eb5ece2e6,2022,11,Nov,2022-11,2022-11-28,48,29,Tuesday,2,False,complete_day
106,10564,2022-11-29,Sides & Other,4.99,200.4,Online,Credit Card,Tom Jackson,London,Sides & Other,Sides,1000.0,rec_7f159a6916454551,2022,11,Nov,2022-11,2022-11-28,48,29,Tuesday,2,False,complete_day
103,10561,2022-11-29,Chicken Sandwiches,9.95,201.01,Online,Credit Card,Tom Jackson,London,Chicken Sandwiches,Main Course,2000.05,rec_b362c1ed7f1c578d,2022,11,Nov,2022-11,2022-11-28,48,29,Tuesday,2,False,complete_day
109,10567,2022-11-30,Fries,3.49,630.37,Online,Credit Card,Tom Jackson,London,Fries,Sides,2199.99,rec_05384bb24e1336fe,2022,11,Nov,2022-11,2022-11-28,48,30,Wednesday,3,False,complete_day
108,10566,2022-11-30,Chicken Sandwiches,9.95,201.01,Online,Credit Card,Tom Jackson,London,Chicken Sandwiches,Main Course,2000.05,rec_43d7564170139332,2022,11,Nov,2022-11,2022-11-28,48,30,Wednesday,3,False,complete_day
111,10569,2022-11-30,Sides & Other,4.99,200.4,Online,Credit Card,Tom Jackson,London,Sides & Other,Sides,1000.0,rec_6ab179210768da8a,2022,11,Nov,2022-11,2022-11-28,48,30,Wednesday,3,False,complete_day
107,10565,2022-11-30,Burgers,12.99,492.69,Online,Credit Card,Tom Jackson,London,Burgers,Main Course,6400.04,rec_9ee506ed1602d1ed,2022,11,Nov,2022-11,2022-11-28,48,30,Wednesday,3,False,complete_day
110,10568,2022-11-30,Beverages,2.95,677.97,Online,Credit Card,Tom Jackson,London,Beverages,Beverage,2000.01,rec_f7b8b8f9f3a47776,2022,11,Nov,2022-11,2022-11-28,48,30,Wednesday,3,False,complete_day
112,10570,2022-12-01,Burgers,12.99,492.69,Online,Credit Card,Tom Jackson,London,Burgers,Main Course,6400.04,rec_3d8d519ad307f652,2022,12,Dec,2022-12,2022-11-28,48,1,Thursday,4,False,complete_day
114,10572,2022-12-01,Fries,3.49,573.07,Online,Credit Card,Remy Monet,Paris,Fries,Sides,2000.01,rec_5385244c8aa582b8,2022,12,Dec,2022-12,2022-11-28,48,1,Thursday,4,False,complete_day
116,10574,2022-12-01,Sides & Other,4.99,200.4,Online,Credit Card,Remy Monet,Paris,Sides & Other,Sides,1000.0,rec_5d57d8bce9e3db8f,2022,12,Dec,2022-12,2022-11-28,48,1,Thursday,4,False,complete_day
